date,tod,actual,grouping,min_count,found,rank,total_candidates,total_hits,winner_groups,seeds,clusters,hot_groups,total_hot_groups,filter_reason,error
2019-09-15,evening,6899,monthly,1,True,18,226,7,2013-01; 2018-03; 2018-09; 2018-10; 2018-11,8975,2004-06(2); 2017-06(2); 1991-09(1); 1992-01(1); 1997-07(1); 1998-02(1); 2001-09(1); 2003-10(1); 2005-09(1); 2006-07(1); 2010-05(1); 2010-07(1); 2010-10(1); 2011-03(1); 2011-04(1); 2011-09(1); 2011-10(1); 2012-07(1); 2013-01(1); 2013-06(1); 2014-02(1); 2014-12(1); 2015-07(1); 2016-09(1); 2017-03(1); 2017-11(1); 2017-12(1); 2018-03(1); 2018-09(1); 2018-10(1); 2018-11(1); 2019-05(1),32,32,,
2019-09-15,evening,6899,monthly,2,False,,32,,,8975,2004-06(2); 2017-06(2),2,32,In 5 groups below min_count threshold,
2019-09-15,evening,6899,monthly,3,False,,0,,,8975,,0,32,In 5 groups below min_count threshold,
2019-09-15,evening,6899,cluster_15,1,True,84,226,6,2018-10-11 → 2018-11-30; 2013-01-06 → 2013-02-05; 2018-08-26 → 2018-09-25,8975,2004-05-24 → 2004-07-07(2); 2011-08-20 → 2011-10-19(2); 2017-05-20 → 2017-07-02(2); 2018-10-11 → 2018-11-30(2); 1991-09-05 → 1991-10-05(1); 1991-12-17 → 1992-01-16(1); 1997-07-10 → 1997-08-09(1); 1998-02-13 → 1998-03-15(1); 2001-08-30 → 2001-09-29(1); 2003-09-29 → 2003-10-29(1); 2005-09-08 → 2005-10-08(1); 2006-07-03 → 2006-08-02(1); 2010-04-25 → 2010-05-25(1); 2010-07-01 → 2010-07-31(1); 2010-09-21 → 2010-10-21(1); 2011-03-01 → 2011-03-31(1); 2011-04-09 → 2011-05-09(1); 2012-07-02 → 2012-08-01(1); 2013-01-06 → 2013-02-05(1); 2013-06-06 → 2013-07-06(1); 2014-01-18 → 2014-02-17(1); 2014-11-16 → 2014-12-16(1); 2015-06-25 → 2015-07-25(1); 2016-09-15 → 2016-10-15(1); 2017-03-13 → 2017-04-12(1); 2017-10-18 → 2017-11-17(1); 2017-12-09 → 2018-01-08(1); 2018-02-14 → 2018-03-16(1); 2018-08-26 → 2018-09-25(1); 2019-05-08 → 2019-06-07(1),30,30,,
2019-09-15,evening,6899,cluster_15,2,True,39,108,3,2018-10-11 → 2018-11-30,8975,2004-05-24 → 2004-07-07(2); 2011-08-20 → 2011-10-19(2); 2017-05-20 → 2017-07-02(2); 2018-10-11 → 2018-11-30(2),4,30,,
2019-09-15,evening,6899,cluster_15,3,False,,0,,,8975,,0,30,In 3 groups below min_count threshold,
2019-09-15,evening,6899,cluster_30,1,True,127,247,8,2018-08-11 → 2018-12-15; 2010-09-06 → 2010-11-05; 2012-12-22 → 2013-02-20; 2018-01-30 → 2018-03-31,8975,2018-08-11 → 2018-12-15(3); 2004-05-09 → 2004-07-22(2); 2011-02-14 → 2011-05-24(2); 2011-08-05 → 2011-11-03(2); 2017-05-05 → 2017-07-17(2); 2017-10-03 → 2018-01-23(2); 1991-08-21 → 1991-10-20(1); 1991-12-02 → 1992-01-31(1); 1997-06-25 → 1997-08-24(1); 1998-01-29 → 1998-03-30(1); 2001-08-15 → 2001-10-14(1); 2003-09-14 → 2003-11-13(1); 2005-08-24 → 2005-10-23(1); 2006-06-18 → 2006-08-17(1); 2010-04-10 → 2010-06-09(1); 2010-06-16 → 2010-08-15(1); 2010-09-06 → 2010-11-05(1); 2012-06-17 → 2012-08-16(1); 2012-12-22 → 2013-02-20(1); 2013-05-22 → 2013-07-21(1); 2014-01-03 → 2014-03-04(1); 2014-11-01 → 2014-12-31(1); 2015-06-10 → 2015-08-09(1); 2016-08-31 → 2016-10-30(1); 2017-02-26 → 2017-04-27(1); 2018-01-30 → 2018-03-31(1); 2019-04-23 → 2019-06-22(1),27,27,,
2019-09-15,evening,6899,cluster_30,2,True,132,206,4,2018-08-11 → 2018-12-15,8975,2018-08-11 → 2018-12-15(3); 2004-05-09 → 2004-07-22(2); 2011-02-14 → 2011-05-24(2); 2011-08-05 → 2011-11-03(2); 2017-05-05 → 2017-07-17(2); 2017-10-03 → 2018-01-23(2),6,27,,
2019-09-15,evening,6899,cluster_30,3,True,17,89,4,2018-08-11 → 2018-12-15,8975,2018-08-11 → 2018-12-15(3),1,27,,
2019-09-15,evening,6899,cluster_60,1,True,164,252,9,2010-03-11 → 2010-12-05; 2017-01-27 → 2017-08-16; 2017-09-03 → 2018-04-30; 2018-07-12 → 2019-01-14; 2012-11-22 → 2013-03-22,8975,2010-03-11 → 2010-12-05(3); 2017-01-27 → 2017-08-16(3); 2017-09-03 → 2018-04-30(3); 2018-07-12 → 2019-01-14(3); 1991-07-22 → 1992-03-01(2); 2004-04-09 → 2004-08-21(2); 2011-01-15 → 2011-06-23(2); 2011-07-06 → 2011-12-03(2); 1997-05-26 → 1997-09-23(1); 1997-12-30 → 1998-04-29(1); 2001-07-16 → 2001-11-13(1); 2003-08-15 → 2003-12-13(1); 2005-07-25 → 2005-11-22(1); 2006-05-19 → 2006-09-16(1); 2012-05-18 → 2012-09-15(1); 2012-11-22 → 2013-03-22(1); 2013-04-22 → 2013-08-20(1); 2013-12-04 → 2014-04-03(1); 2014-10-02 → 2015-01-30(1); 2015-05-11 → 2015-09-08(1); 2016-08-01 → 2016-11-29(1); 2019-03-24 → 2019-07-22(1),22,22,,
