date,seeds,seed_values,winners,winner_values,sum_min,sum_max,td_min,td_max,hot_sum_td_cands,hot_sum_td_hits,hot_sum_td_of,cold_sum_td_cands,cold_sum_td_hits,cold_sum_td_of,hot_all_cands,hot_all_hits,hot_all_of,cold_all_cands,cold_all_hits,cold_all_of,hot_sum_cold_2dp_cands,hot_sum_cold_2dp_hits,hot_sum_cold_2dp_of,all_digits_hot_sum_td_cands,all_digits_hot_sum_td_hits,all_digits_hot_sum_td_of
2026-02-01,10,8355|0286|9727|4446|6250,0122|0036,2021|6003,7,25,7,58,629,2,2,99,0,2,145,1,2,16,0,2,130,0,2,629,2,2
2026-02-02,10,2021|6003|8355|0286|9727,2445|0199,4245|1099,5,25,7,58,636,2,2,100,0,2,131,0,2,16,0,2,145,0,2,636,2,2
2026-02-03,10,4245|1099|2021|6003|8355,1256|2568,2165|2856,5,25,7,47,586,1,2,100,0,2,122,1,2,12,0,2,120,1,2,586,1,2
2026-02-04,10,2165|2856|4245|1099|2021,0139|1378,0319|3817,5,25,7,54,624,1,2,100,0,2,135,0,2,13,0,2,120,0,2,624,1,2
2026-02-05,10,0319|3817|2165|2856|4245,2289|1245,8292|4125,5,21,21,59,422,2,2,214,1,2,128,1,2,39,0,2,101,0,2,422,2,2
2026-02-06,10,8292|4125|0319|3817|2165,4467|0168,4647|1860,5,21,19,59,442,2,2,172,0,2,126,1,2,11,0,2,67,1,2,442,2,2
2026-02-07,10,4647|1860|8292|4125|0319,1335|1129,5133|1219,12,21,19,59,405,2,2,161,0,2,104,0,2,10,0,2,77,0,2,405,2,2
2026-02-08,10,5133|1219|4647|1860|8292,3668|2379,8663|3729,12,21,19,59,405,2,2,161,0,2,101,0,2,10,0,2,77,1,2,405,2,2
2026-02-09,10,8663|3729|5133|1219|4647,2268|1239,6282|3291,12,23,19,59,445,2,2,172,0,2,122,2,2,28,0,2,109,1,2,445,2,2
2026-02-10,10,6282|3291|8663|3729|5133,3577|2458,7537|5428,12,23,19,56,438,2,2,172,0,2,106,0,2,19,0,2,119,0,2,438,2,2
2026-02-11,10,7537|5428|6282|3291|8663,1238|1288,8312|8821,12,23,20,52,416,1,2,185,0,2,122,0,2,34,0,2,115,0,2,416,1,2
2026-02-12,10,8312|8821|7537|5428|6282,2789|1279,2897|1792,12,23,20,58,289,1,2,144,0,2,87,1,2,40,0,2,79,0,2,435,1,2
2026-02-13,10,2897|1792|8312|8821|7537,2667|3458,2766|4358,14,26,22,58,298,2,2,194,1,2,82,0,2,43,0,2,101,0,2,414,2,2
2026-02-14,10,2766|4358|2897|1792|8312,0023|2579,0023|9527,14,26,20,58,313,1,2,152,0,2,83,1,2,31,0,2,114,0,2,435,1,2
2026-02-15,10,0023|9527|2766|4358|2897,2479|0169,7294|0169,5,26,20,58,507,2,2,209,0,2,119,1,2,36,0,2,132,0,2,507,2,2
2026-02-16,10,7294|0169|0023|9527|2766,1568|5789,5618|5978,5,26,20,58,507,1,2,209,0,2,118,0,2,23,0,2,132,0,2,507,1,2
2026-02-17,10,5618|5978|7294|0169|0023,0578|2789,7058|8927,5,29,20,58,521,2,2,214,0,2,125,1,2,21,0,2,147,1,2,521,2,2
2026-02-18,10,7058|8927|5618|5978|7294,3556|1288,5635|8821,5,29,20,54,509,2,2,214,0,2,124,0,2,21,0,2,147,0,2,509,2,2
2026-02-19,10,5635|8821|7058|8927|5618,0557|0136,5075|6031,5,29,22,48,451,1,2,276,0,2,101,1,2,52,0,2,149,1,2,451,1,2
