strategy,hit_rate,hits,winners,avg_cands,cost_per_draw,ev_per_draw
Σ±5 TD±5,89.0,89,100,546,546,-368.0
Σ±5 TD±5 SD,87.0,87,100,508,508,-334.0
Σ±3 TD±5,87.0,87,100,525,525,-351.0
Σ±5 TD±2,86.0,86,100,511,511,-339.0
Σ±5 TD±2 SD,85.0,85,100,486,486,-316.0
Σ±3 TD±5 SD,85.0,85,100,490,490,-320.0
Σ±3 TD±2,84.0,84,100,492,492,-324.0
Σ±3 TD±2 SD,83.0,83,100,470,470,-304.0
Σ±5 TD±0 SD,82.0,82,100,463,463,-299.0
Σ±5 TD±0,82.0,82,100,480,480,-316.0
Σ±2 TD±5,82.0,82,100,509,509,-345.0
Σ±2 TD±5 SD,81.0,81,100,476,476,-314.0
Σ±3 TD±0 SD,80.0,80,100,447,447,-287.0
Σ±3 TD±0,80.0,80,100,462,462,-302.0
All10 Σ±2 TD±2 SD,80.0,80,100,488,488,-328.0
All10 Σ±2 TD±2,80.0,80,100,510,510,-350.0
Σ±2 TD±2 SD,79.0,79,100,457,457,-299.0
Σ±2 TD±2,79.0,79,100,478,478,-320.0
Σ±1 TD±5,79.0,79,100,488,488,-330.0
Σ±1 TD±5 SD,78.0,78,100,458,458,-302.0
Σ±0 TD±5,77.0,77,100,463,463,-309.0
All10 Σ±2 TD±0 SD,77.0,77,100,464,464,-310.0
All10 Σ±1 TD±2 SD,77.0,77,100,469,469,-315.0
All10 Σ±2 TD±0,77.0,77,100,478,478,-324.0
All10 Σ±1 TD±2,77.0,77,100,489,489,-335.0
Σ±2 TD±0 SD,76.0,76,100,434,434,-282.0
Σ±0 TD±5 SD,76.0,76,100,435,435,-283.0
Σ±1 TD±2 SD,76.0,76,100,439,439,-287.0
Σ±2 TD±0,76.0,76,100,449,449,-297.0
Σ±1 TD±2,76.0,76,100,459,459,-307.0
Σ±0 TD±2 SD,74.0,74,100,418,418,-270.0
Σ±0 TD±2,74.0,74,100,436,436,-288.0
All10 Σ±1 TD±0 SD,74.0,74,100,446,446,-298.0
All10 Σ±1 TD±0,74.0,74,100,460,460,-312.0
Σ±1 TD±0 SD,73.0,73,100,418,418,-272.0
Σ±1 TD±0,73.0,73,100,432,432,-286.0
Σ±0 TD±0 SD,71.0,71,100,398,398,-256.0
Σ±0 TD±0,71.0,71,100,410,410,-268.0
Σ±5 TD±5 S,44.0,44,100,187,187,-99.0
Σ±5 TD±2 S,43.0,43,100,181,181,-95.0
Σ±3 TD±5 S,43.0,43,100,183,183,-97.0
Σ±5 TD±5 D,43.0,43,100,321,321,-235.0
Σ±5 TD±0 S,42.0,42,100,175,175,-91.0
Σ±3 TD±2 S,42.0,42,100,178,178,-94.0
Σ±5 TD±2 D,42.0,42,100,305,305,-221.0
Σ±3 TD±5 D,42.0,42,100,307,307,-223.0
Σ±3 TD±0 S,41.0,41,100,172,172,-90.0
Σ±2 TD±5 S,41.0,41,100,180,180,-98.0
Σ±3 TD±2 D,41.0,41,100,292,292,-210.0
Σ±2 TD±2 S,40.0,40,100,174,174,-94.0
Σ±1 TD±5 S,40.0,40,100,175,175,-95.0
Σ±5 TD±0 D,40.0,40,100,288,288,-208.0
Σ±2 TD±5 D,40.0,40,100,296,296,-216.0
Σ±2 TD±0 S,39.0,39,100,169,169,-91.0
Σ±0 TD±5 S,39.0,39,100,169,169,-91.0
Σ±1 TD±2 S,39.0,39,100,170,170,-92.0
Σ±3 TD±0 D,39.0,39,100,275,275,-197.0
Σ±2 TD±2 D,39.0,39,100,282,282,-204.0
Σ±0 TD±2 S,38.0,38,100,164,164,-88.0
Σ±1 TD±0 S,38.0,38,100,164,164,-88.0
Σ±1 TD±5 D,38.0,38,100,282,282,-206.0
Σ±0 TD±0 S,37.0,37,100,158,158,-84.0
Σ±2 TD±0 D,37.0,37,100,266,266,-192.0
Σ±0 TD±5 D,37.0,37,100,266,266,-192.0
Σ±1 TD±2 D,37.0,37,100,269,269,-195.0
Σ med±3 TD±2 SD,36.0,36,100,205,205,-133.0
Σ med±3 TD±2,36.0,36,100,213,213,-141.0
Σ±0 TD±2 D,36.0,36,100,254,254,-182.0
Σ±1 TD±0 D,35.0,35,100,254,254,-184.0
Σ±0 TD±0 D,34.0,34,100,239,239,-171.0
Σ±3 TD±2 +top3pair,26.0,26,100,120,120,-68.0
Σ med±2 TD±2 SD,24.0,24,100,149,149,-101.0
Σ med±2 TD±2,24.0,24,100,155,155,-107.0
Σ±2 TD±2 +top3pair,23.0,23,100,117,117,-71.0
Σ med±1 TD±2 SD,16.0,16,100,91,91,-59.0
Σ med±1 TD±2,16.0,16,100,94,94,-62.0
